count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
117,oriente,(all selected provinces),OTROS TRANSITORIOS,transitory,2024-01-01,2024-11-01,10.0,0.25,2398.6013986014,0.0,sin riego,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,75.33333333333333,10.886216880000001,,,0.0,0.0,1.6666666666666667,2.6666666666666665,1.6666666666666667,0.0,20.77922077922077,3628.73896,,83.33333333333334
115,oriente,(all selected provinces),PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,15.0,16800.0,0.0,sin riego,TONELADA METR.,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,286.47939157894734,124.73790174999999,,200.0,241.91593066666667,0.0,1.5,2.5,0.5,0.0,,400.0,1908.9473395717603,204.0
14,oriente,(all selected provinces),PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.14,11409.090909090924,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,254.5359237,,,,0.0,0.0,1.0357142857142856,2.25,6.97198365,0.0,,,,
306,oriente,(all selected provinces),PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.43,6818.181818181821,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,90.718474,111.66666666666667,,,0.0,0.0,1.48,3.0,1.4285714285714286,0.0,122.72727272727299,362.873896,45.359237,1.7
1,oriente,(all selected provinces),TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,10909.090909090917,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,
194,oriente,(all selected provinces),YUCA,transitory,2024-01-01,2024-12-01,11.0,0.25,1704.545454545455,0.0,sin riego,QUINTAL,RAIZ FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,272.155422,,,,0.0,0.0,2.0,4.166666666666667,1.625,0.0,22.159090909090892,2419.159306666667,,2.0
213,sierra,(all selected provinces),AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,3977.2727272727243,11250.0,surcos,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,284.60475848214287,52.0,59.696969696969695,45.359237,90.718474,0.0,4.0,2.4705882352941178,8.0,0.0,,1919.66770875,5669.904625,52.0
4,sierra,(all selected provinces),ARROZ (EN CÁSCARA),transitory,2024-01-01,2024-04-01,3.0,14.0,5033.279220779221,5000.0,sin riego,QUINTAL,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,121.61028407142858,53.57142857142857,46.42857142857143,10.0,217.14285714285714,0.0,1.1428571428571428,1.2086167800453516,1.0,3.142857142857143,,,,
69,sierra,(all selected provinces),ARVEJA SECA (GRANO SECO),transitory,2024-04-01,2024-08-01,4.0,0.22,538.2775119617223,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,79.37866475,98.27834683333334,,2.0833333333333335,0.0,0.0,1.0,1.8333333333333335,1.4285714285714286,0.0,3.770661157024783,1511.9745666666668,,11.11111111111111
297,sierra,(all selected provinces),ARVEJA TIERNA (VAINA),transitory,2024-01-01,2024-12-01,11.0,0.11,1818.1818181818198,2130.1775147928993,sin riego,SACO,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,200.0,153.087424875,131.20982643910907,3.846153846153846,0.0,40.0,2.8926815157651142,2.0,4.205882352941176,0.0,25.383707201889003,2267.96185,1058.3821966666667,40.0
234,sierra,(all selected provinces),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.6928000000000001,9954.722626875053,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,220.0,120.0,39.689332375,200.0,0.0,0.0,1.75,1.2,1.5,0.0,7484.326018808775,1125.9385070921985,39.689332375000006,91.74358974358974
258,sierra,(all selected provinces),BROCOLI,transitory,2024-01-01,2024-03-01,2.0,2.2,16363.63636363636,9230.76923076923,aspersi?n,TONELADA,REPOLLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,6389.4948,217.72433759999998,272.155422,60.0,151.19745666666668,385.0,0.0,2.6685393258426964,1.25,6.0,9.807692307692307,,4535.9237,4000.0,14.0
730,sierra,(all selected provinces),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,644.1970727685012,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,116.38185092445744,28.34467120181406,70.86167800453515,50.0,0.0,1.0,1.417233560090703,1.0101010101010102,0.8716525706688962,,217.7243376,283.25,10.0
217,sierra,(all selected provinces),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,0.5,261.47727272727275,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,158.7573295,280.0,,,0.0,0.0,1.0833333333333335,1.0,1.5,0.0,5.6818181818181746,453.59237,3023.9491333333335,20.0
